"";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"X18";"X19";"X20";"X21";"X22";"X23";"X24";"X25";"X26";"X27";"X28";"X29";"X30";"X31";"X32";"X33";"X34";"X35";"X36";"X37";"X38";"X39";"X40";"X41";"X42";"X43";"X44";"X45";"X46";"X47";"X48";"X49";"X50";"X51";"X52";"X53";"X54";"X55";"X56";"X57";"X58";"X59";"X60";"X61";"X62";"X63";"X64";"X65";"X66";"X67";"X68";"X69";"X70";"X71"
"11";0;41;7;88;12;363;666,666666666667;242,857142857143;1333,33333333333;1000;600;538,461538461538;1000;655,172413793103;161,290322580645;233,333333333333;318,151648351648;374,087912087912;347,389010989011;335,542857142857;336,283516483517;185,024175824176;344,747252747253;343,384615384615;331,432967032967;332,676923076923;666,666666666667;242,857142857143;1333,33333333333;1000;600;538,461538461538;1000;655,172413793103;161,290322580645;233,333333333333;666,666666666667;242,857142857143;1333,33333333333;1000;600;538,461538461538;1000;655,172413793103;161,290322580645;233,333333333333;666,666666666667;242,857142857143;1333,33333333333;1000;600;538,461538461538;1000;655,172413793103;161,290322580645;233,333333333333;666,666666666667;242,857142857143;1333,33333333333;1000;600;538,461538461538;1000;655,172413793103;161,290322580645;233,333333333333;31,5416046981397;19,7671138587771;44,3510152738424;-81,1060575877797;455
"12";3;71;6;105;16;416;666,666666666667;371,428571428571;1000;761,904761904762;800;846,153846153846;772,727272727273;655,172413793103;161,290322580645;233,333333333333;285,151401869159;364,407476635514;338,194392523365;342,08785046729;337,497196261682;159,306542056075;349,244859813084;351,895327102804;333,91214953271;334,029906542056;666,666666666667;371,428571428571;1000;761,904761904762;800;846,153846153846;772,727272727273;655,172413793103;161,290322580645;233,333333333333;666,666666666667;371,428571428571;1000;761,904761904762;800;846,153846153846;772,727272727273;655,172413793103;161,290322580645;233,333333333333;666,666666666667;371,428571428571;1000;761,904761904762;800;846,153846153846;772,727272727273;655,172413793103;161,290322580645;233,333333333333;666,666666666667;371,428571428571;1000;761,904761904762;800;846,153846153846;772,727272727273;655,172413793103;161,290322580645;233,333333333333;28,2179608496752;13,8311985126081;38,9225028899216;-86,3925259056337;535
"13";6;82;7;81;20;337;666,666666666667;357,142857142857;1277,77777777778;619,047619047619;433,333333333333;653,846153846154;1000;413,793103448276;161,290322580645;400;325,993318485523;359,351893095768;348,026726057906;345,832962138085;331,590200445434;184,129175946548;349,614699331849;344,071269487751;341,483296213808;333,80846325167;666,666666666667;357,142857142857;1277,77777777778;619,047619047619;433,333333333333;653,846153846154;1000;413,793103448276;161,290322580645;400;666,666666666667;357,142857142857;1277,77777777778;619,047619047619;433,333333333333;653,846153846154;1000;413,793103448276;161,290322580645;400;666,666666666667;357,142857142857;1277,77777777778;619,047619047619;433,333333333333;653,846153846154;1000;413,793103448276;161,290322580645;400;666,666666666667;357,142857142857;1277,77777777778;619,047619047619;433,333333333333;653,846153846154;1000;413,793103448276;161,290322580645;400;10,1789489446126;1,22914380398928;31,5437204214502;-86,1973164397019;449
"14";1;19;1;37;3;138;461,538461538462;171,428571428571;1000;1000;433,333333333333;346,153846153846;409,090909090909;586,206896551724;161,290322580645;233,333333333333;361,256830601093;396,92349726776;364,819672131148;371,158469945355;352,469945355191;384,377049180328;375,803278688525;365,890710382514;348,300546448087;372,688524590164;461,538461538462;171,428571428571;1000;1000;433,333333333333;346,153846153846;409,090909090909;586,206896551724;161,290322580645;233,333333333333;461,538461538462;171,428571428571;1000;1000;433,333333333333;346,153846153846;409,090909090909;586,206896551724;161,290322580645;233,333333333333;461,538461538462;171,428571428571;1000;1000;433,333333333333;346,153846153846;409,090909090909;586,206896551724;161,290322580645;233,333333333333;461,538461538462;171,428571428571;1000;1000;433,333333333333;346,153846153846;409,090909090909;586,206896551724;161,290322580645;233,333333333333;33,2736725260012;19,6810559524753;46,9224904588654;-81,3345182697461;183
"15";3;65;8;117;19;351;435,897435897436;342,857142857143;1000;761,904761904762;433,333333333333;538,461538461538;1409,09090909091;413,793103448276;161,290322580645;400;309,120582120582;363,272349272349;345,613305613306;337,573804573805;331,702702702703;196,733887733888;343,170478170478;348,806652806653;332,715176715177;334,89604989605;435,897435897436;342,857142857143;1000;761,904761904762;433,333333333333;538,461538461538;1409,09090909091;413,793103448276;161,290322580645;400;435,897435897436;342,857142857143;1000;761,904761904762;433,333333333333;538,461538461538;1409,09090909091;413,793103448276;161,290322580645;400;435,897435897436;342,857142857143;1000;761,904761904762;433,333333333333;538,461538461538;1409,09090909091;413,793103448276;161,290322580645;400;435,897435897436;342,857142857143;1000;761,904761904762;433,333333333333;538,461538461538;1409,09090909091;413,793103448276;161,290322580645;400;23,7651869796852;15,7974479914271;51,8660749417446;-73,0115836739645;481
"16";4;59;7;84;16;339;897,435897435897;471,428571428571;1000;619,047619047619;533,333333333333;346,153846153846;772,727272727273;1137,93103448276;161,290322580645;233,333333333333;318,067415730337;354,411235955056;335,930337078652;333,811235955056;327,6;180,283146067416;338,474157303371;335,310112359551;329,930337078652;325,973033707865;897,435897435897;471,428571428571;1000;619,047619047619;533,333333333333;346,153846153846;772,727272727273;1137,93103448276;161,290322580645;233,333333333333;897,435897435897;471,428571428571;1000;619,047619047619;533,333333333333;346,153846153846;772,727272727273;1137,93103448276;161,290322580645;233,333333333333;897,435897435897;471,428571428571;1000;619,047619047619;533,333333333333;346,153846153846;772,727272727273;1137,93103448276;161,290322580645;233,333333333333;897,435897435897;471,428571428571;1000;619,047619047619;533,333333333333;346,153846153846;772,727272727273;1137,93103448276;161,290322580645;233,333333333333;25,5605131071073;11,3354554089827;41,2994835921989;-78,1216639545926;445
"17";1;65;8;149;24;517;512,820512820513;500;1111,11111111111;1000;1066,66666666667;538,461538461538;772,727272727273;517,241379310345;419,354838709677;400;231,29446935725;364,953662182362;299,248131539611;334,677130044843;330,234678624813;126,273542600897;343,267563527653;328,814648729447;327,559043348281;325,856502242152;512,820512820513;500;1111,11111111111;1000;1066,66666666667;538,461538461538;772,727272727273;517,241379310345;419,354838709677;400;512,820512820513;500;1111,11111111111;1000;1066,66666666667;538,461538461538;772,727272727273;517,241379310345;419,354838709677;400;512,820512820513;500;1111,11111111111;1000;1066,66666666667;538,461538461538;772,727272727273;517,241379310345;419,354838709677;400;512,820512820513;500;1111,11111111111;1000;1066,66666666667;538,461538461538;772,727272727273;517,241379310345;419,354838709677;400;34,8461081031046;18,4807098490151;42,6361666927567;-83,8361412803309;669
"18";1;48;3;68;14;237;435,897435897436;428,571428571429;833,333333333333;1000;333,333333333333;538,461538461538;818,181818181818;586,206896551724;64,5161290322581;133,333333333333;343,198142414861;378,46439628483;362,352941176471;356,588235294118;342,959752321981;269,600619195046;360,009287925697;354,69040247678;345,637770897833;350,708978328173;435,897435897436;428,571428571429;833,333333333333;1000;333,333333333333;538,461538461538;818,181818181818;586,206896551724;64,5161290322581;133,333333333333;435,897435897436;428,571428571429;833,333333333333;1000;333,333333333333;538,461538461538;818,181818181818;586,206896551724;64,5161290322581;133,333333333333;435,897435897436;428,571428571429;833,333333333333;1000;333,333333333333;538,461538461538;818,181818181818;586,206896551724;64,5161290322581;133,333333333333;435,897435897436;428,571428571429;833,333333333333;1000;333,333333333333;538,461538461538;818,181818181818;586,206896551724;64,5161290322581;133,333333333333;32,1631345741844;9,50353350079384;35,6507026801569;-82,7607777817714;323
"19";5;132;6;125;25;542;820,51282051282;414,285714285714;1111,11111111111;619,047619047619;1100;807,692307692308;1000;689,655172413793;161,290322580645;400;216,854137447405;346,611500701262;278,71809256662;331,841514726508;463,485273492286;119,796633941094;341,130434782609;305,985974754558;330,460028050491;316,991584852735;820,51282051282;414,285714285714;1111,11111111111;619,047619047619;1100;807,692307692308;1000;689,655172413793;161,290322580645;400;820,51282051282;414,285714285714;1111,11111111111;619,047619047619;1100;807,692307692308;1000;689,655172413793;161,290322580645;400;820,51282051282;414,285714285714;1111,11111111111;619,047619047619;1100;807,692307692308;1000;689,655172413793;161,290322580645;400;820,51282051282;414,285714285714;1111,11111111111;619,047619047619;1100;807,692307692308;1000;689,655172413793;161,290322580645;400;-4,63892731670274;-2,05710204244141;24,1355180267768;-92,8552441563791;713
"20";3;94;11;127;25;498;871,794871794872;542,857142857143;1000;619,047619047619;1166,66666666667;846,153846153846;1000;344,827586206897;161,290322580645;600;233,152798789713;347,196671709531;302,438729198185;335,32223903177;385,223903177005;124,829046898638;329,585476550681;323,664145234493;334,113464447806;328,472012102874;871,794871794872;542,857142857143;1000;619,047619047619;1166,66666666667;846,153846153846;1000;344,827586206897;161,290322580645;600;871,794871794872;542,857142857143;1000;619,047619047619;1166,66666666667;846,153846153846;1000;344,827586206897;161,290322580645;600;871,794871794872;542,857142857143;1000;619,047619047619;1166,66666666667;846,153846153846;1000;344,827586206897;161,290322580645;600;871,794871794872;542,857142857143;1000;619,047619047619;1166,66666666667;846,153846153846;1000;344,827586206897;161,290322580645;600;17,6696897656;8,42177892876393;40,4884671917152;-80,2886111382509;661
"21";3;55;4;73;21;309;769,230769230769;642,857142857143;1611,11111111111;380,952380952381;733,333333333333;692,307692307692;1409,09090909091;1068,96551724138;64,5161290322581;300;342,881188118812;381,44801980198;356,915841584158;350,40099009901;349,997524752475;225,534653465347;359,537128712871;359,829207920792;352,183168316832;345,95297029703;769,230769230769;642,857142857143;1611,11111111111;380,952380952381;733,333333333333;692,307692307692;1409,09090909091;1068,96551724138;64,5161290322581;300;769,230769230769;642,857142857143;1611,11111111111;380,952380952381;733,333333333333;692,307692307692;1409,09090909091;1068,96551724138;64,5161290322581;300;769,230769230769;642,857142857143;1611,11111111111;380,952380952381;733,333333333333;692,307692307692;1409,09090909091;1068,96551724138;64,5161290322581;300;769,230769230769;642,857142857143;1611,11111111111;380,952380952381;733,333333333333;692,307692307692;1409,09090909091;1068,96551724138;64,5161290322581;300;-3,71805540656938;8,2168787112252;27,4372527770514;-96,2030434643093;404
"22";2;35;7;84;11;264;589,74358974359;357,142857142857;1444,44444444444;380,952380952381;733,333333333333;846,153846153846;1000;172,413793103448;419,354838709677;400;342,234957020057;370,767908309456;346,444126074499;358,541547277937;358,661891117478;245,12893982808;363,295128939828;350,974212034384;347,679083094556;344,031518624642;589,74358974359;357,142857142857;1444,44444444444;380,952380952381;733,333333333333;846,153846153846;1000;172,413793103448;419,354838709677;400;589,74358974359;357,142857142857;1444,44444444444;380,952380952381;733,333333333333;846,153846153846;1000;172,413793103448;419,354838709677;400;589,74358974359;357,142857142857;1444,44444444444;380,952380952381;733,333333333333;846,153846153846;1000;172,413793103448;419,354838709677;400;589,74358974359;357,142857142857;1444,44444444444;380,952380952381;733,333333333333;846,153846153846;1000;172,413793103448;419,354838709677;400;20,7989841620521;11,2131951394263;31,4714958144415;-85,6877258872333;349
"23";1;83;7;140;24;532;743,589743589744;600;1444,44444444444;1000;600;846,153846153846;1000;586,206896551724;419,354838709677;400;230,901033973412;359,937961595273;292,183161004431;328,875923190547;327,041358936484;124,88035450517;341,366322008863;321,682422451994;328,831610044313;323,180206794682;743,589743589744;600;1444,44444444444;1000;600;846,153846153846;1000;586,206896551724;419,354838709677;400;743,589743589744;600;1444,44444444444;1000;600;846,153846153846;1000;586,206896551724;419,354838709677;400;743,589743589744;600;1444,44444444444;1000;600;846,153846153846;1000;586,206896551724;419,354838709677;400;743,589743589744;600;1444,44444444444;1000;600;846,153846153846;1000;586,206896551724;419,354838709677;400;9,9904127426551;4,99019423892031;30,1501106665307;-89,8141982753683;677
