"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71"
"11",0,41,7,88,12,363,1102.04081632653,750,1000,1000,741.379310344828,852.459016393443,545.454545454545,331.360946745562,518.518518518518,1000,318.151648351648,374.087912087912,347.389010989011,335.542857142857,336.283516483517,185.024175824176,344.747252747253,343.384615384615,331.432967032967,332.676923076923,1102.04081632653,750,1000,1000,741.379310344828,852.459016393443,545.454545454545,331.360946745562,518.518518518518,1000,1102.04081632653,750,1000,1000,741.379310344828,852.459016393443,545.454545454545,331.360946745562,518.518518518518,1000,1102.04081632653,750,1000,1000,741.379310344828,852.459016393443,545.454545454545,331.360946745562,518.518518518518,1000,1102.04081632653,750,1000,1000,741.379310344828,852.459016393443,545.454545454545,331.360946745562,518.518518518518,1000,31.5416046981397,19.7671138587771,44.3510152738424,-81.1060575877797,455
"12",3,71,6,105,16,416,1081.63265306122,1000,1000,1000,1000,606.55737704918,927.272727272727,443.786982248521,1000,1000,285.151401869159,364.407476635514,338.194392523365,342.08785046729,337.497196261682,159.306542056075,349.244859813084,351.895327102804,333.91214953271,334.029906542056,1081.63265306122,1000,1000,1000,1000,606.55737704918,927.272727272727,443.786982248521,1000,1000,1081.63265306122,1000,1000,1000,1000,606.55737704918,927.272727272727,443.786982248521,1000,1000,1081.63265306122,1000,1000,1000,1000,606.55737704918,927.272727272727,443.786982248521,1000,1000,1081.63265306122,1000,1000,1000,1000,606.55737704918,927.272727272727,443.786982248521,1000,1000,28.2179608496752,13.8311985126081,38.9225028899216,-86.3925259056337,535
"13",6,82,7,81,20,337,795.918367346939,578.125,818.181818181818,1000,741.379310344828,852.459016393443,618.181818181818,254.437869822485,1000,1000,325.993318485523,359.351893095768,348.026726057906,345.832962138085,331.590200445434,184.129175946548,349.614699331849,344.071269487751,341.483296213808,333.80846325167,795.918367346939,578.125,818.181818181818,1000,741.379310344828,852.459016393443,618.181818181818,254.437869822485,1000,1000,795.918367346939,578.125,818.181818181818,1000,741.379310344828,852.459016393443,618.181818181818,254.437869822485,1000,1000,795.918367346939,578.125,818.181818181818,1000,741.379310344828,852.459016393443,618.181818181818,254.437869822485,1000,1000,795.918367346939,578.125,818.181818181818,1000,741.379310344828,852.459016393443,618.181818181818,254.437869822485,1000,1000,10.1789489446126,1.22914380398928,31.5437204214502,-86.1973164397019,449
"14",1,19,1,37,3,138,551.020408163265,500,575.757575757576,1000,206.896551724138,409.83606557377,472.727272727273,242.603550295858,333.333333333333,1000,361.256830601093,396.92349726776,364.819672131148,371.158469945355,352.469945355191,384.377049180328,375.803278688525,365.890710382514,348.300546448087,372.688524590164,551.020408163265,500,575.757575757576,1000,206.896551724138,409.83606557377,472.727272727273,242.603550295858,333.333333333333,1000,551.020408163265,500,575.757575757576,1000,206.896551724138,409.83606557377,472.727272727273,242.603550295858,333.333333333333,1000,551.020408163265,500,575.757575757576,1000,206.896551724138,409.83606557377,472.727272727273,242.603550295858,333.333333333333,1000,551.020408163265,500,575.757575757576,1000,206.896551724138,409.83606557377,472.727272727273,242.603550295858,333.333333333333,1000,33.2736725260012,19.6810559524753,46.9224904588654,-81.3345182697461,183
"15",3,65,8,117,19,351,530.612244897959,578.125,757.575757575758,1000,362.068965517241,983.606557377049,545.454545454545,254.437869822485,814.814814814815,1000,309.120582120582,363.272349272349,345.613305613306,337.573804573805,331.702702702703,196.733887733888,343.170478170478,348.806652806653,332.715176715177,334.89604989605,530.612244897959,578.125,757.575757575758,1000,362.068965517241,983.606557377049,545.454545454545,254.437869822485,814.814814814815,1000,530.612244897959,578.125,757.575757575758,1000,362.068965517241,983.606557377049,545.454545454545,254.437869822485,814.814814814815,1000,530.612244897959,578.125,757.575757575758,1000,362.068965517241,983.606557377049,545.454545454545,254.437869822485,814.814814814815,1000,530.612244897959,578.125,757.575757575758,1000,362.068965517241,983.606557377049,545.454545454545,254.437869822485,814.814814814815,1000,23.7651869796852,15.7974479914271,51.8660749417446,-73.0115836739645,481
"16",4,59,7,84,16,339,1000,1000,1000,1000,500,540.983606557377,927.272727272727,467.455621301775,1000,1000,318.067415730337,354.411235955056,335.930337078652,333.811235955056,327.6,180.283146067416,338.474157303371,335.310112359551,329.930337078652,325.973033707865,1000,1000,1000,1000,500,540.983606557377,927.272727272727,467.455621301775,1000,1000,1000,1000,1000,1000,500,540.983606557377,927.272727272727,467.455621301775,1000,1000,1000,1000,1000,1000,500,540.983606557377,927.272727272727,467.455621301775,1000,1000,1000,1000,1000,1000,500,540.983606557377,927.272727272727,467.455621301775,1000,1000,25.5605131071073,11.3354554089827,41.2994835921989,-78.1216639545926,445
"17",1,65,8,149,24,517,1326.5306122449,1000,757.575757575758,1000,706.896551724138,934.426229508197,1000,437.869822485207,518.518518518518,1000,231.29446935725,364.953662182362,299.248131539611,334.677130044843,330.234678624813,126.273542600897,343.267563527653,328.814648729447,327.559043348281,325.856502242152,1326.5306122449,1000,757.575757575758,1000,706.896551724138,934.426229508197,1000,437.869822485207,518.518518518518,1000,1326.5306122449,1000,757.575757575758,1000,706.896551724138,934.426229508197,1000,437.869822485207,518.518518518518,1000,1326.5306122449,1000,757.575757575758,1000,706.896551724138,934.426229508197,1000,437.869822485207,518.518518518518,1000,1326.5306122449,1000,757.575757575758,1000,706.896551724138,934.426229508197,1000,437.869822485207,518.518518518518,1000,34.8461081031046,18.4807098490151,42.6361666927567,-83.8361412803309,669
"18",1,48,3,68,14,237,897.959183673469,750,818.181818181818,1000,396.551724137931,606.55737704918,854.545454545455,254.437869822485,814.814814814815,1000,343.198142414861,378.46439628483,362.352941176471,356.588235294118,342.959752321981,269.600619195046,360.009287925697,354.69040247678,345.637770897833,350.708978328173,897.959183673469,750,818.181818181818,1000,396.551724137931,606.55737704918,854.545454545455,254.437869822485,814.814814814815,1000,897.959183673469,750,818.181818181818,1000,396.551724137931,606.55737704918,854.545454545455,254.437869822485,814.814814814815,1000,897.959183673469,750,818.181818181818,1000,396.551724137931,606.55737704918,854.545454545455,254.437869822485,814.814814814815,1000,897.959183673469,750,818.181818181818,1000,396.551724137931,606.55737704918,854.545454545455,254.437869822485,814.814814814815,1000,32.1631345741844,9.50353350079384,35.6507026801569,-82.7607777817714,323
"19",5,132,6,125,25,542,1000,1000,1000,1000,1000,639.344262295082,927.272727272727,455.621301775148,1000,1000,216.854137447405,346.611500701262,278.71809256662,331.841514726508,463.485273492286,119.796633941094,341.130434782609,305.985974754558,330.460028050491,316.991584852735,1000,1000,1000,1000,1000,639.344262295082,927.272727272727,455.621301775148,1000,1000,1000,1000,1000,1000,1000,639.344262295082,927.272727272727,455.621301775148,1000,1000,1000,1000,1000,1000,1000,639.344262295082,927.272727272727,455.621301775148,1000,1000,1000,1000,1000,1000,1000,639.344262295082,927.272727272727,455.621301775148,1000,1000,-4.63892731670274,-2.05710204244141,24.1355180267768,-92.8552441563791,713
"20",3,94,11,127,25,498,1000,1000,1000,1000,1000,557.377049180328,927.272727272727,479.289940828402,1000,1000,233.152798789713,347.196671709531,302.438729198185,335.32223903177,385.223903177005,124.829046898638,329.585476550681,323.664145234493,334.113464447806,328.472012102874,1000,1000,1000,1000,1000,557.377049180328,927.272727272727,479.289940828402,1000,1000,1000,1000,1000,1000,1000,557.377049180328,927.272727272727,479.289940828402,1000,1000,1000,1000,1000,1000,1000,557.377049180328,927.272727272727,479.289940828402,1000,1000,1000,1000,1000,1000,1000,557.377049180328,927.272727272727,479.289940828402,1000,1000,17.6696897656,8.42177892876393,40.4884671917152,-80.2886111382509,661
